144,"Government Boys Primary School, 1 HansPathi",Chak No. 1/H,213060101,,,461,348,809,1,1,2
144 Total,,,,,,461,348,809,1,1,2
145,"Government Girls Primary School, 5 KMR",Chak No. 11/T,213060301,,,393,317,710,2,2,4
"",,Chak No. 5/KMR,213060304,,,569,473,1042,,,
145 Total,,,,,,962,790,1752,2,2,4
146,"Government Boys Primary School, 4 KMR",Chak No. 4/KMR,213060302,,,421,307,728,2,1,3
"",,Chak No. 4/KMR,213060303,,,252,178,430,,,
146 Total,,,,,,673,485,1158,2,1,3
147,"Government Boys Primary School, 2 KMR",Chak No. 2/KMR,213060404,,,560,471,1031,2,2,4
"",,Chak No. 2/KMR,213060405,,,266,180,446,,,
"",,Chak No. 2/KMR,213060406,,,219,146,365,,,
147 Total,,,,,,1045,797,1842,2,2,4
148,"Government Boys Elementary School, 3KMR",Chak No. 3/KMR,213060401,,,446,343,789,2,2,4
"",,Chak No. 3/KMR,213060402,,,325,234,559,,,
"",,Chak No. 3/KMR,213060403,,,189,149,338,,,
148 Total,,,,,,960,726,1686,2,2,4
149,"Government Boys Primary School, KarariTumak",Krari Tamak,213060601,,,466,402,868,1,1,2
"",,Krari Tamak,213060608,,,139,118,257,,,
149 Total,,,,,,605,520,1125,1,1,2
150,"Government Boys Primary School, 1 KMR",Chak No. 1/KMR,213060604,,,677,502,1179,2,2,4
"",,Chak No. 1/KMR,213060605,,,247,193,440,,,
150 Total,,,,,,924,695,1619,2,2,4
151,"Government Boys Primary School, 3 Hans",Chak No. 3/H,213060606,,,297,252,549,1,1,2
"",,Chak No. 3/H,213060607,,,303,212,515,,,
151 Total,,,,,,600,464,1064,1,1,2
152,"Government Boys Primary School Chak1/T",Chak No. 1/T,213060801,,,509,417,926,2,2,4
"",,Chak No. 1/T,213060802,,,636,569,1205,,,
152 Total,,,,,,1145,986,2131,2,2,4
153,"Government Boys Primary School Chak3/T",Chak No. 2/T,213060803,,,61,51,112,1,1,2
"",,Chak No. 2/T,213060804,,,98,88,186,,,
"",,Chak No. 3/T,213060805,,,312,236,548,,,
153 Total,,,,,,471,375,846,1,1,2
154,"Government Boys Primary School Chak4/T",Chak No. 4/T,213060808,,,537,394,931,1,1,2
154 Total,,,,,,537,394,931,1,1,2
155,"Government Boys Primary School Chak9/T",Chak No. 9/T,213060706,,,316,281,597,2,2,4
Chak No. 9/T,213060707,,,366,320,686,,,,,
Chak No. 10/T,213060708,,,463,385,848,,,,,
155 Total,,,,,,1145,986,2131,2,2,4
156,wala Basti Nawab Shah,Arain Wala,213060702,,,286,252,538,2,2,4
"",,Arain Wala,213060703,,,317,299,616,,,
156 Total,,,,,,821,734,1555,2,2,4
157,"Government Boys Primary School Araianwala Basti Nawab Shah",Arain Wala,213060704,,,525,404,929,2,2,4
"",,Arain Wala,213060705,,,450,372,822,,,
157 Total,,,,,,975,776,1751,2,2,4
158,Government Boys High School 7/T,Chak No.7/T,213060203,,,254,182,436,2,2,4
"",,Chak No.7/T,213060204,,,302,279,581,,,
"",,Chak No.7/T,213060205,,,185,140,325,,,
"",,Gharay Bhan,213060206,,,137,118,255,,,
158 Total,,,,,,878,719,1597,2,2,4
159,Government Boys Primary School 8/T,Chak No.8/T,213060201,,,269,214,483,2,1,3
"",,Chak No.8/T,213060202,,,462,403,865,,,
"",,Kuch Kota,213060207,,,21,27,48,,,
159 Total,,,,,,752,644,1396,2,1,3
160,"Government Boys Elementary SchoolMultani wala",Multani Wala,213060501,,,235,200,435,2,2,4
"",,Multani Wala,213060502,,,155,115,270,,,
"",,Multani Wala,213060503,,,138,126,264,,,
"",,Multani Wala,213060504,,,198,155,353,,,
"",,Multani Wala,213060505,,,402,325,727,,,
160 Total,,,,,,1128,921,2049,2,2,4
161,"Government Girls Primary School Multaniwala",Tarpai,213060506,,,365,312,677,2,2,4
"",,Tarpai,213060507,,,140,121,261,,,
"",,Tarpai,213060508,,,333,252,585,,,
"",,Tarpai,213060509,,,203,155,358,,,
161 Total,,,,,,1041,840,1881,2,2,4
162,"Government Boys Primary School, 1 HansPathi",Chak No. 1/H,213060102,,,558,447,1005,2,2,4
"",,Chak No. 1/H,213060103,,,434,327,761,,,
162 Total,,,,,,992,774,1766,2,2,4
163,"Government Boys Primary School, KarariTumak",Krari Tamak,213060602,,,506,440,946,2,2,4
"",,Krari Tamak,213060603,,,396,367,763,,,
163 Total,,,,,,902,807,1709,2,2,4
164,"Govt. Girls Elementary School, 3/T",Chak No. 3/T,213060806,,,709,554,1263,2,1,3
"",,Chak No. 3/T,213060807,,,140,67,207,,,
164 Total,,,,,,849,621,1470,2,1,3
165,"Government Girls Primary School Chak4/T",Chak No. 4/T,213060809,,,177,172,349,2,1,3
"",,Chak No. 4/T,213060810,,,556,415,971,,,
165 Total,,,,,,733,587,1320,2,1,3
166,"Government Boys Middle School AzamHans Basti Judge",Azam Hance,213090701,,,571,456,1027,2,2,4
"",,Azam Hance,213090704,,,371,315,686,,,
166 Total,,,,,,942,771,1713,2,2,4
167,"Government Boys Middle School AzamHans Basti Judge",Azam Hance,213090702,,,281,305,586,1,2,3
"",,Azam Hance,213090703,,,351,353,704,,,
167 Total,,,,,,632,658,1290,1,2,3
168,"Government Girls Primary School, MohanWala",Kothay Wala Janubi,213090705,,,411,384,795,2,2,4
"",,Kothay Wala Janubi,213090706,,,459,399,858,,,
"",,Kothay Wala Janubi,213090707,,,227,226,453,,,
168 Total,,,,,,1097,1009,2106,2,2,4
169,"Government Boys Primary School, KothayWala No. 2",Kothay Wala Janubi,213090708,,,357,299,656,2,2,4
"",,Kothay Wala Janubi,213090709,,,543,415,958,,,
169 Total,,,,,,900,714,1614,2,2,4
Mula Faqeer,213090305,,,306,274,580,,,,,
170 Total,,,,,,721,640,1361,2,1,3
171,"Government Boys High School MullanFaqir",Mula Faqeer,213090307,,,453,380,833,2,2,4
"",,Mula Faqeer,213090308,,,128,117,245,,,
"",,Mula Faqeer,213090310,,,320,278,598,,,
171 Total,,,,,,901,775,1676,2,2,4
172,"Government Boys High School MullanFaqir",Mula Faqeer,213090309,,,574,480,1054,1,1,2
172 Total,,,,,,574,480,1054,1,1,2
173,"Government Boys Primary SchoolChhapran wala",Chapran Wala,213090301,,,555,425,980,2,2,4
"",,Chapran Wala,213090302,,,407,367,774,,,
173 Total,,,,,,962,792,1754,2,2,4
174,"Government Girls Primary SchoolChhapran wala",Chapran Wala,213090303,,,307,246,553,2,2,4
"",,Chapran Wala,213090304,,,552,451,1003,,,
174 Total,,,,,,859,697,1556,2,2,4
175,"Government Boys Primary School, LailiPur",Laili Pur,213090915,,,748,641,1389,2,1,3
175 Total,,,,,,748,641,1389,2,1,3
176,"Government Boys Higher SecondarySchool Budhla Sant",Dograna,213090901,,,342,320,662,1,1,2
"",,Dograna,213090902,,,224,212,436,,,
176 Total,,,,,,566,532,1098,1,1,2
177,"Government Higher Secondary School,Budhla Sant",Dograna,213090903,,,777,633,1410,2,2,4
"",,Dograna,213090904,,,272,249,521,,,
177 Total,,,,,,1049,882,1931,2,2,4
178,"Basic Health Center, Budhla Sant",Dograna,213090907,,,302,229,531,2,2,4
"",,Dograna,213090909,,,643,567,1210,,,
178 Total,,,,,,945,796,1741,2,2,4
179,"Government Girls High School, BudhlaSant",Dograna,213090905,,,537,0,537,3,0,3
"",,Dograna,213090906,,,465,0,465,,,
"",,Dograna,213090908,,,271,0,271,,,
"",,Dograna,213090916,,,328,0,328,,,
179 Total,,,,,,1601,0,1601,3,0,3
180,"Government Girls High School, BudhlaSant",Dograna,213090905,,,0,422,422,0,3,3
"",,Dograna,213090906,,,0,383,383,,,
"",,Dograna,213090908,,,0,237,237,,,
"",,Dograna,213090916,,,0,286,286,,,
180 Total,,,,,,0,1328,1328,0,3,3
181,"Government Boys High School, Jalil",Jaleel,213090910,,,676,559,1235,2,1,3
181 Total,,,,,,676,559,1235,2,1,3
182,"Government Boys High School, Jalil",Jaleel,213090911,,,414,333,747,1,1,2
182 Total,,,,,,414,333,747,1,1,2
183,"Government Boys Primary School BastiKothay wala",Kothay Wala Shumali,213090806,,,330,275,605,2,1,3
"",,Kothay Wala Shumali,213090807,,,396,273,669,,,
183 Total,,,,,,726,548,1274,2,1,3
184,Government Boys High School Kot Gujran,Kothay Wala Shumali,213090801,,,397,345,742,2,2,4
"",,Kothay Wala Shumali,213090802,,,472,352,824,,,
"",,Kothay Wala Shumali,213090803,,,372,404,776,,,
184 Total,,,,,,1241,1101,2342,2,2,4
185,"Government Girls Elementary School KotGujran",Kothay Wala Shumali,213090804,,,361,253,614,2,1,3
"",,Kothay Wala Shumali,213090805,,,422,356,778,,,
185 Total,,,,,,783,609,1392,2,1,3
Nai Wala,213090101,,,489,0,489,,,,,
Nai Wala,213090102,,,466,0,466,,,,,
"",,Nai Wala,213090104,,,639,0,639,,,
186 Total,,,,,,1887,0,1887,4,0,4
187,"Government Boys Primary School Naiwala",Nai Wala,213090101,,,0,431,431,0,3,3
"",,Nai Wala,213090102,,,0,410,410,,,
"",,Nai Wala,213090103,,,0,245,245,,,
"",,Nai Wala,213090104,,,0,556,556,,,
187 Total,,,,,,0,1642,1642,0,3,3
188,"Government Girls Primary School Naiwala",Nai Wala,213090105,,,288,0,288,2,0,2
"",,Nai Wala,213090106,,,222,0,222,,,
"",,Nai Wala,213090112,,,124,0,124,,,
"",,Nai Wala,213090107,,,414,0,414,,,
188 Total,,,,,,1048,0,1048,2,0,2
189,"Government Girls Primary School Naiwala",Nai Wala,213090105,,,0,214,214,0,2,2
"",,Nai Wala,213090106,,,0,159,159,,,
"",,Nai Wala,213090112,,,0,112,112,,,
"",,Nai Wala,213090107,,,0,343,343,,,
189 Total,,,,,,0,828,828,0,2,2
190,Government Boys Primary School Domra,Domra,213090110,,,276,265,541,2,2,4
"",,Domra,213090111,,,619,430,1049,,,
190 Total,,,,,,895,695,1590,2,2,4
191,Government Boys Primary School Domra,Domra,213090108,,,130,101,231,2,1,3
"",,Domra,213090113,,,395,320,715,,,
"",,Domra,213090109,,,231,173,404,,,
191 Total,,,,,,756,594,1350,2,1,3
192,"Government Boys Primary School MianiRawa",Miani Rawa,213090201,,,255,218,473,2,2,4
"",,Miani Rawa,213090217,,,245,196,441,,,
"",,Miani Rawa,213090202,,,492,439,931,,,
192 Total,,,,,,992,853,1845,2,2,4
193,"Government Boys Masjid Maktab School,Basti Kot Rab Nawaz",Kot Rab Nawaz,213090205,,,460,384,844,2,2,4
"",,Kot Rab Nawaz,213090206,,,378,294,672,,,
"",,Kot Rab Nawaz,213090207,,,162,146,308,,,
193 Total,,,,,,1000,824,1824,2,2,4
194,"Government Boys Masjid Maktab School,Basti Kot Rab Nawaz",Kot Rab Nawaz,213090208,,,718,615,1333,2,2,4
"",,Kot Rab Nawaz,213090209,,,399,345,744,,,
194 Total,,,,,,1117,960,2077,2,2,4
195,"Govt. Elementary School, Basti Kot RabNawaz",Kot Rab Nawaz,213090210,,,475,363,838,2,2,4
"",,Kot Rab Nawaz,213090211,,,317,328,645,,,
195 Total,,,,,,792,691,1483,2,2,4
196,"Government Boys Primary School, KotRab Nawaz (Chah Sultan Sahu)",Kot Rab Nawaz,213090213,,,184,0,184,4,0,4
"",,Kot Rab Nawaz,213090219,,,168,0,168,,,
"",,Kot Rab Nawaz,213090214,,,691,0,691,,,
"",,Kot Rab Nawaz,213090215,,,398,0,398,,,
"",,Kot Rab Nawaz,213090216,,,372,0,372,,,
"",,Kot Rab Nawaz,213090220,,,224,0,224,,,
196 Total,,,,,,2037,0,2037,4,0,4
197,"Government Girls Primary School, Piraywala Kot Rab Nawaz",Kot Rab Nawaz,213090213,,,0,183,183,0,3,3
"",,Kot Rab Nawaz,213090219,,,0,132,132,,,
"",,Kot Rab Nawaz,213090214,,,0,568,568,,,
"",,Kot Rab Nawaz,213090215,,,0,295,295,,,
"",,Kot Rab Nawaz,213090216,,,0,296,296,,,
"",,Kot Rab Nawaz,213090220,,,0,180,180,,,
197 Total,,,,,,0,1654,1654,0,3,3
198,"Government Boys Primary School, Arbi",Arbi,213090509,,,170,156,326,2,2,4
"",,Pun,213090510,,,224,162,386,,,
"",,Basant Kot,213090511,,,191,145,336,,,
"",,Rakh Arbi,213090512,,,21,17,38,,,
198 Total,,,,,,1116,940,2056,2,2,4
199,"Government Boys Primary School, JissayWala",Sher Singh Wala,213090501,,,176,123,299,2,1,3
"",,Sher Singh Wala,213090502,,,144,156,300,,,
"",,Sher Singh Wala,213090513,,,385,319,704,,,
199 Total,,,,,,705,598,1303,2,1,3
200,"Government Boys Primary School, JissayWala",Sher Singh Wala,213090503,,,620,493,1113,1,1,2
200 Total,,,,,,620,493,1113,1,1,2
201,"Government Girls High School MiltaryFarm Sher Singh wala",Sher Singh Wala,213090504,,,286,286,572,2,2,4
"",,Sher Singh Wala,213090514,,,67,54,121,,,
"",,Sher Singh Wala,213090505,,,500,426,926,,,
201 Total,,,,,,853,766,1619,2,2,4
202,Government Boys High School Jalalabad,Jalal Abad,213090601,,,466,352,818,2,2,4
"",,Jalal Abad,213090602,,,641,551,1192,,,
202 Total,,,,,,1107,903,2010,2,2,4
203,Government Boys High School Jalalabad,Jalal Abad,213090603,,,412,340,752,2,2,4
"",,Jalal Abad,213090604,,,169,163,332,,,
"",,Jalal Abad,213090605,,,466,362,828,,,
203 Total,,,,,,1047,865,1912,2,2,4
204,Health Center Jalalabad,Jalal Abad,213090606,,,307,246,553,2,2,4
"",,Jalal Abad,213090607,,,615,480,1095,,,
204 Total,,,,,,922,726,1648,2,2,4
205,"Government Boys High School, JhokeLashkar Pur",Jhok Lashkar Pur,213090401,,,275,237,512,0,1,1
"",,Jhok Lashkar Pur,213090406,,,376,341,717,,,
205 Total,,,,,,651,578,1229,0,1,1
206,"Government Boys High School, JhokeLashkar Pur",Jhok Lashkar Pur,213090402,,,331,296,627,2,2,4
"",,Jhok Lashkar Pur,213090407,,,282,233,515,,,
"",,Jhok Lashkar Pur,213090403,,,414,366,780,,,
206 Total,,,,,,1027,895,1922,2,2,4
207,"Government Boys High School, JhokeLashkar Pur (Primary Portion)",Jhok Lashkar Pur,213090404,,,805,0,805,2,0,2
"",,Jhok Lashkar Pur,213090405,,,478,0,478,,,
207 Total,,,,,,1283,0,1283,2,0,2
208,"Government Girls Primary School, JhokeLashkar Pur (Pairay Wala)",Jhok Lashkar Pur,213090404,,,0,782,782,0,2,2
"",,Jhok Lashkar Pur,213090405,,,0,419,419,,,
208 Total,,,,,,0,1201,1201,0,2,2
209,"Govt. Girls Elementary School, Jalil",Jaleel,213090912,,,630,537,1167,1,1,2
209 Total,,,,,,630,537,1167,1,1,2
210,"Govt. Girls Elementary School, Jalil",Jaleel,213090913,,,338,273,611,2,2,4
"",,Jaleel,213090914,,,601,442,1043,,,
210 Total,,,,,,939,715,1654,2,2,4
211,"Government Boys Primary School MianiRawa",Miani Rawa,213090203,,,293,185,478,2,1,3
"",,Miani Rawa,213090204,,,127,132,259,,,
"",,Miani Rawa,213090218,,,261,231,492,,,
211 Total,,,,,,681,548,1229,2,1,3
212,"Govt. Elementary School, Basti Kot RabNawaz",Kot Rab Nawaz,213090212,,,507,412,919,1,1,2
212 Total,,,,,,507,412,919,1,1,2
Sher Singh Wala,213090506,,,424,358,782,,,,,
213 Total,,,,,,735,574,1309,2,1,3
214,"Government Girls Primary School, KarpalPur (Chah Mahni Wala)",Kirpal Pur,213110601,,,372,0,372,3,0,3
"",,Kirpal Pur,213110610,,,381,0,381,,,
"",,Kirpal Pur,213110602,,,376,0,376,,,
"",,Kirpal Pur,213110603,,,339,0,339,,,
214 Total,,,,,,1468,0,1468,3,0,3
215,"Government Girls Primary School, KarpalPur (Chah Mahni Wala)",Kirpal Pur,213110601,,,0,291,291,0,2,2
"",,Kirpal Pur,213110610,,,0,390,390,,,
"",,Kirpal Pur,213110602,,,0,287,287,,,
"",,Kirpal Pur,213110603,,,0,238,238,,,
215 Total,,,,,,0,1206,1206,0,2,2
216,"Government Girls Primary School, KarpalPur (Basti Sardar Pur)",Kirpal Pur,213110604,,,135,117,252,2,2,4
"",,Kirpal Pur,213110605,,,191,155,346,,,
"",,Kirpal Pur,213110611,,,75,26,101,,,
"",,Kirpal Pur,213110606,,,519,410,929,,,
216 Total,,,,,,920,708,1628,2,2,4
217,"Government Boys Primary School, BastiShah Hussain",Kirpal Pur,213110607,,,475,410,885,2,2,4
"",,Kirpal Pur,213110608,,,510,402,912,,,
217 Total,,,,,,985,812,1797,2,2,4
218,"Government Girls Primary School, ChahBhatti Wala",Dehar,213110113,,,197,134,331,1,1,2
218 Total,,,,,,197,134,331,1,1,2
219,"Government Boys Primary School, SaadPur",Said Pur,213110609,,,490,373,863,1,1,2
219 Total,,,,,,490,373,863,1,1,2
220,"Basic Health Centre, Khera Abad Qadeem",Khera Abad,213110401,,,392,0,392,4,0,4
"",,Khera Abad,213110402,,,306,0,306,,,
"",,Khera Abad,213110403,,,372,0,372,,,
"",,Khera Abad,213110404,,,344,0,344,,,
"",,Khera Abad,213110405,,,132,0,132,,,
"",,Khera Abad,213110406,,,253,0,253,,,
220 Total,,,,,,1799,0,1799,4,0,4
221,"Government Girls Primary School, KheraAbad",Khera Abad,213110401,,,0,267,267,0,3,3
"",,Khera Abad,213110402,,,0,257,257,,,
"",,Khera Abad,213110403,,,0,308,308,,,
"",,Khera Abad,213110404,,,0,271,271,,,
"",,Khera Abad,213110405,,,0,97,97,,,
"",,Khera Abad,213110406,,,0,201,201,,,
221 Total,,,,,,0,1401,1401,0,3,3
222,"Government Girls Primary School, BahuWala",Bahu Wala,213110407,,,458,404,862,2,2,4
"",,Bahu Wala,213110408,,,459,308,767,,,
222 Total,,,,,,917,712,1629,2,2,4
223,"Government Boys Elementary School,Basti Shah Hussain Sadiqabad Mills",Shakh-e-Madina,213110501,,,295,246,541,2,2,4
"",,Shakh-e-Madina,213110511,,,303,310,613,,,
"",,Shakh-e-Madina,213110502,,,285,197,482,,,
223 Total,,,,,,883,753,1636,2,2,4
224,"Government Boys Elementary School,Basti Shah Hussain Sadiqabad",Shakh-e-Madina,213110503,,,244,169,413,1,1,2
"",,Shakh-e-Madina,213110504,,,181,117,298,,,
224 Total,,,,,,425,286,711,1,1,2
225,"Government Boys Primary School, Shakhe Madina",Shakh-e-Madina,213110505,,,591,472,1063,1,1,2
225 Total,,,,,,591,472,1063,1,1,2
"",Gagra,Chak Gaghera,213110510,,,495,417,912,,,
226 Total,,,,,,612,524,1136,1,1,2
227,"Government Boys Primary School,Bakhshish Garh",Bukhsheesh Garh,213110507,,,418,327,745,2,2,4
"",,Bukhsheesh Garh,213110508,,,506,414,920,,,
227 Total,,,,,,924,741,1665,2,2,4
228,"Government Boys Primary School, SardarPur Balrah",Qadir Pur Ran Gharbi,213110801,,,794,653,1447,2,2,4
228 Total,,,,,,794,653,1447,2,2,4
229,"Government Degree College, Qadir PurRaan",Qadir Pur Ran Gharbi,213110807,,,205,198,403,2,1,3
"",,Qadir Pur Ran Gharbi,213110808,,,262,209,471,,,
"",,Qadir Pur Ran Gharbi,213110813,,,271,194,465,,,
229 Total,,,,,,738,601,1339,2,1,3
230,"Government Girls Primary School, DhelayWala",Qadir Pur Ran Gharbi,213110804,,,684,523,1207,2,2,4
"",,Qadir Pur Ran Gharbi,213110805,,,283,227,510,,,
"",,Qadir Pur Ran Gharbi,213110806,,,53,36,89,,,
"",,Qadir Pur Ran Gharbi,213110812,,,201,141,342,,,
230 Total,,,,,,1221,927,2148,2,2,4
231,"Government Boys Elementary School,Qadir Pur Raan",Qadir Pur Ran Gharbi,213110809,,,334,207,541,2,2,4
"",,Qadir Pur Ran Gharbi,213110814,,,182,169,351,,,
"",,Qadir Pur Ran Gharbi,213110810,,,454,340,794,,,
231 Total,,,,,,970,716,1686,2,2,4
232,"Government Girls Primary School,Darkhan Wala",Qadir Pur Ran Sharqi,213110706,,,429,297,726,2,1,3
"",,Qadir Pur Ran Sharqi,213110707,,,321,261,582,,,
232 Total,,,,,,750,558,1308,2,1,3
233,"Government Boys Primary School, WasliWala",Qadir Pur Ran Sharqi,213110702,,,374,260,634,2,2,4
"",,Qadir Pur Ran Sharqi,213110703,,,435,285,720,,,
"",,Qadir Pur Ran Sharqi,213110704,,,320,287,607,,,
233 Total,,,,,,1129,832,1961,2,2,4
234,"Government Boys Primary School, QadirPur Raan No. 2 (Jand Wala)",Qadir Pur Ran Sharqi,213110705,,,595,381,976,1,1,2
234 Total,,,,,,595,381,976,1,1,2
235,"Government Boys Middle School, SajjanPur",Sujan Pur,213110107,,,191,168,359,2,2,4
"",,Sujan Pur,213110117,,,418,373,791,,,
"",,Sujan Pur,213110108,,,419,369,788,,,
"",,Sujan Pur,213110109,,,196,148,344,,,
235 Total,,,,,,1224,1058,2282,2,2,4
236,"Government Boys Middle School, SajjanPur",Sujan Pur,213110110,,,244,161,405,2,2,4
"",,Sujan Pur,213110111,,,598,501,1099,,,
"",,Sujan Pur,213110112,,,172,129,301,,,
236 Total,,,,,,1014,791,1805,2,2,4
237,"Government Boys Middle High School,Bohar",Bohar,213110101,,,663,0,663,2,0,2
"",,Bohar,213110105,,,165,0,165,,,
"",,Bohar,213110116,,,195,0,195,,,
"",,Bohar,213110106,,,137,0,137,,,
237 Total,,,,,,1160,0,1160,2,0,2
Bohar,213110101,,,0,561,561,,,,,
Bohar,213110102,,,0,172,172,,,,,
Bohar,213110115,,,0,265,265,,,,,
Bohar,213110103,,,0,171,171,,,,,
Bohar,213110104,,,0,235,235,,,,,
Bohar,213110105,,,0,129,129,,,,,
Bohar,213110116,,,0,163,163,,,,,
238 Total,,,,,,0,1822,1822,0,4,4
239,"Government Girls Primary School, ChahSangar Wala",Faiz Pur Bhattian,213110114,,,630,530,1160,1,1,2
239 Total,,,,,,630,530,1160,1,1,2
240,"22-Govt. Girls Elementary School,Bakhsheesh Garh",Shakh-e-Madina,213110506,,,550,462,1012,1,1,2
240 Total,,,,,,550,462,1012,1,1,2
241,"25-Government Boys Primary School,Sardar Pur Balrah",Qadir Pur Ran Gharbi,213110802,,,406,285,691,2,1,3
"",,Qadir Pur Ran Gharbi,213110803,,,266,239,505,,,
"",,Qadir Pur Ran Gharbi,213110811,,,234,98,332,,,
241 Total,,,,,,906,622,1528,2,1,3
242,"29-Government Girls Primary SchoolAloor",Qadir Pur Ran Sharqi,213110701,,,496,356,852,1,1,2
242 Total,,,,,,496,356,852,1,1,2
243,"34-Government Boys Middle High School,Bohar",Bohar,213110102,,,222,0,222,2,0,2
"",,Bohar,213110115,,,290,0,290,,,
"",,Bohar,213110103,,,201,0,201,,,
"",,Bohar,213110104,,,307,0,307,,,
243 Total,,,,,,1020,0,1020,2,0,2
244,"Government Girls Primary School,Rasoolpur",Rasool Pur,213110903,,,759,600,1359,2,1,3
244 Total,,,,,,759,600,1359,2,1,3
245,"Government Boys Primary School, SaddarPur",Saddar Pur,213110203,,,452,378,830,2,2,4
"",,Saddar Pur,213110204,,,361,274,635,,,
245 Total,,,,,,813,652,1465,2,2,4
246,"Government Boys Primary School, TahirPur (English Medium)",Tahir Pur,213110201,,,642,500,1142,2,2,4
"",,Tahir Pur,213110202,,,357,309,666,,,
246 Total,,,,,,999,809,1808,2,2,4
247,"Government Boys Primary School, BastiNau Dhand",Basti No Dhand,213110901,,,385,309,694,1,1,2
"",,Lehri,213110902,,,111,82,193,,,
"",,Basti Gagra,213110904,,,149,130,279,,,
247 Total,,,,,,645,521,1166,1,1,2
248,"Government Girls Primary School, GarayWahin (English Medium)",Raye Pur,213110205,,,245,238,483,1,1,2
"",,Garhay Wahin,213110206,,,375,320,695,,,
248 Total,,,,,,620,558,1178,1,1,2
249,"Government Boys Middle School, PanjKoha",Punjkoha,213110301,,,378,354,732,2,2,4
"",,Punjkoha,213110302,,,481,338,819,,,
249 Total,,,,,,859,692,1551,2,2,4
250,"Government Boys Primary School, BastiRatta",Basti Ratta,213110303,,,556,506,1062,1,1,2
"",,Sanghi,213110304,,,73,63,136,,,
250 Total,,,,,,629,569,1198,1,1,2
"",,"Qadir Pur Raan(Mohallah Kikran Wala)",213130101,879,0,879,,,,,
"",,"Qadir Pur Raan(Mohallah Kikran Wala)",213130108,324,0,324,,,,,
"",,,,"Qadir Pur Raan(Bhojian Wala, KaraianWala)",213130103,477,0,477,,,
251 Total,,,,,,1997,0,1997,4,0,4
252,"Government Boys Higher SecondarySchool, Qadir Pur Raan",,,"Qadir Pur Raan(Mohallah AheeranWala)",213130104,554,0,554,4,0,4
"",,,,"Qadir Pur Raan(Mohallah AheeranWala)",213130105,272,0,272,,,
