ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",,,,Muhalla Ganj Hussain abad,183080402,,,847,847,,,
"",,,,"Arhat Malik Kala & SultanGujar",183080406,,,13,13,,,
"",,,,,Total,,,1391,1391,,3,3
41,"41-Govt. Boys P/S Gunj HussainAbad(Male) (P)",,,"Gali Usman Nazim WaliMuhallah Gnj Hussain Abad",183080403,,372,,372,,,
"",,,,"Gali Usman Nazim WaliMuhallah Gnj Hussain Abad",183080405,,210,,210,,,
"",,,,"Manik Road Muhallah GanjHussain Abad",183080404,,261,,261,,,
"",,,,Gali Malik Yaseen Consilar,183080408,,925,,925,,,
"",,,,,Total,,1768,,1768,4,,4
42,"42-Govt.Girls P/S Gunj HussainAbad(Female) (P)",,,"Gali Usman Nazim WaliMuhallah Gnj Hussain Abad",183080403,,,302,302,,,
"",,,,"Gali Usman Nazim WaliMuhallah Gnj Hussain Abad",183080405,,,188,188,,,
"",,,,"Manik Road Muhallah GanjHussain Abad",183080404,,,192,192,,,
"",,,,Gali Maqlik Yaseen Consilar,183080408,,,682,682,,,
"",,,,,Total,,,1364,1364,,3,3
43,"43-Govt. Islamia H/S Badomalhi (Male)(P)",,,Nawan Pind Baddo Malhi,183090103,,429,,429,,,
"",,,,Nawan Pind Baddo Malhi,183090107,,237,,237,,,
"",,,,Gali Mandar Wali,183090102,,509,,509,,,
"",,,,"Darbar Sharif Ali Akbar ShahShab",183090104,,158,,158,,,
"",,,,,Total,,1333,,1333,3,,3
44,"44-Govt. Islamia H/S Baddomalhi(Female) (P)",,,Nawan Pind Baddo Malhi,183090103,,,298,298,,,
"",,,,Nawan Pind Baddo Malhi,183090107,,,200,200,,,
"",,,,Gali Mandar Wali,183090102,,,423,423,,,
"",,,,"Darbar Sharif Ali Akbar ShahShab",183090104,,,119,119,,,
"",,,,,Total,,,1040,1040,,2,2
45,45-Govt. Girls H/S Baddomalhi (Male) (P),,,Muhallah Ansarian,183090101,,973,,973,,,
"",,,,Chungi Mandi Chamarangan,183090105,,606,,606,,,
"",,,,Gali Masjad Balil Wali,183090106,,227,,227,,,
"",,,,,Total,,1806,,1806,3,,3
46,"46-Govt. Girls H/S Baddomalhi(Female)(P)",,,Muhallah Ansarian,183090101,,,770,770,,,
"",,,,Chungi Mandi Chamarangan,183090105,,,465,465,,,
"",,,,Gali Masjad Balil Wali,183090106,,,186,186,,,
"",,,,,Total,,,1421,1421,,3,3
47,"47-Govt. Muslim H/SBaddomalhi(Male)(P)",,,Gali Coommittee Garh Wali,183090201,,281,,281,,,
"",,,,Abu Talib Ali Masjid,183090202,,225,,225,,,
"",,,,Masjad Noor Wali Gali,183070203,,125,,125,,,
"",,,,Gali Madrassa Wali Noori,183090204,,215,,215,,,
"",,,,Muhallaha Sardar Khan,183090205,,249,,249,,,
"",,,,Gali Sheikhan Wali,183090206,,329,,329,,,
48,"48-Govt. Muslim H/SBaddomalhi(Female)  (P)",,,Gali Coommittee Garh Wali,183090201,,,246,246,,,
"",,,,Abu Talib Ali Masjid,183090202,,,209,209,,,
"",,,,Masjad Noor Wali Gali,183090203,,,94,94,,,
"",,,,Gali Madrassa Wali Noori,183090204,,,183,183,,,
"",,,,Muhallaha Sardar Khan,183090205,,,167,167,,,
"",,,,Gali Sheikhan Wali,183090206,,,267,267,,,
"",,,,,Total,,,1166,1166,,2,2
49,"49-Govt. Degree CollegeBaddomalhi(Combined)",,,Gali Hakeeman Wali,183090301,,218,197,415,,,
"",,,,Govt. Health Center,183090306,,383,284,667,,,
"",,,,,Total,,601,481,1082,2,1,3
50,"50-Govt. Girls High SchoolBaddomalhi(Combined)",,,Muhallah Kot Din Muhammad,183090302,,472,380,852,,,
"",,,,Bazar Sarafan,183090305,,366,258,624,,,
"",,,,,Total,,838,638,1476,2,2,4
51,"51-Govt. Girls High SchoolBaddomalhi(Combined)",,,Muhallah Bair Wala,183090303,,313,239,552,,,
"",,,,Feroz Hotal,183090304,,395,293,688,,,
"",,,,,Total,,708,532,1240,2,1,3
52,"52-Govt. Boys E/S ChanddowalKalan(Male)  (P)",Chanddowal-I,183010101,,,,363,,363,,,
"",,Chanddowal-I,183010104,,,,669,,669,,,
"",,,Total,,,,1032,0,0,2,,2
53,"53-Govt. Boys E/S ChanddowalKalan(Female)  (P)",Chanddowal-I,183010101,,,,,315,315,,,
"",,Chanddowal-I,183010104,,,,,494,494,,,
"",,,Total,,,,0,809,809,,2,2
54,"54-Govt. Girls H/S ChanddowalKalan(male)  (P)",Chanddowal-II,183010102,,,,517,,517,,,
"",,Chanddowal-III,183010103,,,,397,,397,,,
"",,Khokhar,183010106,,,,587,,587,,,
"",,Chak Safdar,183010201,,,,326,,326,,,
"",,,Total,,,,1827,,1827,4,,4
55,"55-Govt. Girls H/S ChanddowalKalan(Female)  (P)",Chanddowal-II,183010102,,,,,385,385,,,
"",,Chanddowal-III,183010103,,,,,318,318,,,
"",,Khokhar,183010106,,,,,470,470,,,
"",,Chak Safdar,183010201,,,,,241,241,,,
"",,,Total,,,,,1414,1414,,3,3
56,56-Govt. Boys P/S Raib (Male) (P),Raib,183010105,,,,646,,646,,,
"",,Dalley pur,183010107,,,,506,,506,,,
"",,,Total,,,,1152,,1152,3,0,3
57,57-Govt. Boys P/S Raib (Female) (P),Raib,183010105,,,,,486,486,,,
"",,Dalley pur,183010107,,,,,395,395,,,
"",,,Total,,,,,881,881,,2,2
58,58-Govt. Boys H/S Jassar(Combined)  (P),Jassar-II,183011203,,,,552,434,986,,,
"",,,Total,,,,552,434,986,1,1,2
59,59-Govt. Girls H/S Jassar(Male)  (P),Jassar-I,183011202,,,,703,,703,,,
"",,Jassar-III,183011204,,,,841,,841,,,
"",,,Total,,,,1544,,1544,3,,3
60,60-Govt. Girls H/S Jassar(Female)  (P),Jassar-I,183011202,,,,,554,554,,,
"",,,Total,,,,,1275,1275,,3,3
61,"61-Govt. Girls E/S Dodey Wali(Combined) (P)",Dodhey Wali,183010301,,,,452,357,809,,,
"",,Kharal,183031203,,,,272,151,423,,,
"",,,Total,,,,724,508,1232,2,1,3
62,"62-Govt. Girls P/S Suttia Bumbia(Combined) (P)",Qalandar Abad,183010302,,,,145,87,232,,,
"",,Suttia Pumbia,183010303,,,,371,319,690,,,
"",,Kasso Pakhta B.C,183010304,,,,0,0,0,,,
"",,Raan,183010305,,,,217,128,345,,,
"",,Chele Wali,183011003,,,,246,211,457,,,
"",,,Total,,,,979,745,1724,2,2,4
63,"63-Govt. Girls P/S Fassipur (Combined)P",Nangli,183010202,,,,167,125,292,,,
"",,Fassi Pur,183010203,,,,234,189,423,,,
"",,Dowaba,183010204,,,,262,196,458,,,
"",,,Total,,,,663,510,1173,1,1,2
64,"64-Govt. Girls P/S Parana Wahla(Combined) (P)",Kake ki,183010401,,,,374,284,658,,,
"",,Khokharkey B.C,183010403,,,,0,0,0,,,
"",,Sainkey,183010404,,,,0,0,0,,,
"",,Nangal.BC,183010405,,,,0,0,0,,,
"",,Meadi Nanwan,183010406,,,,125,45,170,,,
"",,Parana Wahla,183010901,,,,414,375,789,,,
"",,,Total,,,,913,704,1617,2,1,3
65,"65-Govt. Girls P/S Asheer MahaDev(Qayyampur) (Male) (P)",Hassan Hussain,183010402,,,,132,,132,,,
"",,Saday Madey,183020601,,,,349,,349,,,
"",,Asheer Maha Dev,183020602,,,,591,,591,,,
"",,Munddi,183020603,,,,130,,130,,,
"",,Pindori,183020604,,,,194,,194,,,
"",,,Total,,,,1396,0,1396,3,,3
66,"66-Govt. Girls P/S Asheer Maha Dev(Female) (P)",Hassan Hussain,183010402,,,,,128,128,,,
"",,Saday Madey,183020601,,,,,273,273,,,
"",,Asheer Maha Dev,183020602,,,,,480,480,,,
"",,Munddi,183020603,,,,,102,102,,,
"",,Pindori,183020604,,,,,136,136,,,
"",,,Total,,,,0,1119,1119,,2,2
67,"67-Govt. GCMS  Kalas Padda(Combined) (P)",Kalas Padda,183010501,,,,462,390,852,,,
"",,Kakka Padda,183010503,,,,514,387,901,,,
"",,,Total,,,,976,777,1753,2,2,4
68,"68-Govt. Girls P/S Muslimanian(Combined) (P)",Muslimanian,183010502,,,,449,376,825,,,
"",,Kaloo Padda,183011201,,,,386,314,700,,,
"",,,Total,,,,835,690,1525,2,2,4
69,"69-Govt. Girls Elementary SchoolBehbalwali(Combined)",Behbalwali,183010504,,,,439,333,772,,,
"",,,Total,,,,439,333,772,1,1,2
70,"70-Govt. Boys P/S Kotli Bajwa(Combined) (P)",Kotli Bajwa,183010601,,,,398,300,698,,,
"",,Bharrowal B.C,183010602,,,,4,9,13,,,
"",,Chak Saran B.C,183010604,,,,0,0,0,,,
"",,Gias Pur,183010605,,,,0,0,0,,,
"",,,Total,,,,671,518,1189,1,1,2
71,71-Govt.Boys E/S Aima Qazian (Male) (P),Baaqir,183010701,,,,517,,517,,,
"",,Ghiaspur,183010702,,,,453,,453,,,
"",,Jatteypur,183010703,,,,368,,368,,,
"",,Aima Qazian,183020703,,,,257,,257,,,
"",,,Total,,,,1595,,1595,3,,3
72,"72-Govt.Boys E/S Aima Qazian (Female)(P)",Baaqir,183010701,,,,,413,413,,,
"",,Ghiaspur,183010702,,,,,319,319,,,
"",,Jatteypur,183010703,,,,,306,306,,,
"",,Aima Qazian,183020703,,,,,218,218,,,
"",,,Total,,,,,1256,1256,,2,2
73,"73-Govt. Girls Elementary SchoolTalwandi Kahlwan(Combined)",Talwanddi Kahlwan,183010704,,,,893,690,1583,,,
"",,,Total,,,,893,690,1583,2,2,4
74,"74-Govt. Girls Primary School BasikeyKalan(Combined)",Basikey Kalan,183010801,,,,340,183,523,,,
"",,Chandian wala,183010802,,,,194,127,321,,,
"",,Chak Bthandda,183010803,,,,71,49,120,,,
"",,,Total,,,,605,359,964,1,1,2
75,"75-Govt. Boys E/S Mohar Sharif (Male)(P)",Mohar Sharif,183010804,,,,613,,613,,,
"",,Mohar Sharif,183010805,,,,353,,353,,,
"",,Mohar Sharif,183010806,,,,280,,280,,,
"",,Laleywali  B.C,183010807,,,,8,,8,,,
"",,,Total,,,,1254,0,1254,3,,3
76,"76-Govt. Girls E/S Mohar Sharif (Female)(P)",Mohar Sharif,183010804,,,,,489,489,,,
"",,Mohar Sharif,183010805,,,,,210,210,,,
"",,Mohar Sharif,183010806,,,,,198,198,,,
"",,Laleywali  B.C,183010807,,,,,6,6,,,
"",,,Total,,,,,903,903,,2,2
77,"77-Govt. Girls P/S Ali Abad (Combined)(P)",Ali Abad-I,183010902,,,,570,406,976,,,
"",,Ali Abad-III,183010904,,,,265,193,415,,,
"",,,Total,,,,835,599,1434,2,1,3
78,78-Govt. Boys P/S Ali Abad-(Male)  (P),Ali Abad-II,183010903,,,,817,,817,,,
"",,Ali Abad-II,183010905,,,,294,,294,,,
"",,,Total,,,,1111,0,1111,3,,3
79,79-Govt. Boys P/S Ali Abad-(Female)  (P),Ali Abad-II,183010903,,,,,695,695,,,
"",,Ali Abad-II,183010905,,,,,201,201,,,
"",,,Total,,,,0,896,896,,2,2
80,"80-Govt. Boys H/S Ransinwal(Combined) (P)",Ransinwal-I,183011001,,,,685,533,1218,,,
"",,,,,,,,,,,,
"",,,Total,,,,685,533,1218,1,1,2
81,"81-Govt. Boys H/S Ransinwal(Combined) (P)",Ransinwal-II,183011002,,,,679,599,1278,,,
"",,,,,,,,,,,,
82,82-Govt. Girls P/S Saran (Combined) (P),Sagal,183020803,,,,278,194,472,,,
"",,Cheeney,183020804,,,,234,136,370,,,
"",,Saran,183020805,,,,382,276,658,,,
"",,,Total,,,,894,606,1500,2,1,3
83,83-Govt. GPS Mahinanwala (Combined),Mahinanwala,183011101,,,,665,513,1178,,,
"",,,Total,,,,665,513,1178,2,1,3
84,"84-Govt. Girls E/S Kotli Bajwa Plot (Male)(P)",Kotli Plot,183011102,,,,963,,963,,,
"",,Kotli Plot,183011103,,,,556,,556,,,
"",,,Total,,,,1519,0,1519,3,,3
85,"85-Govt. Girls E/S Kotli Bajwa Plot(Female) (P)",Kotli Plot,183011102,,,,,766,766,,,
"",,Kotli Plot,183011103,,,,,495,495,,,
"",,,Total,,,,0,1261,1261,,3,3
86,86-Govt. H/S Malokey (Male)  (P),Malokey -I,183020101,,,,166,,166,,,
"",,Malokey -II,183020102,,,,841,,841,,,
"",,Malokey -III,183020103,,,,514,,514,,,
"",,Pindori,183020107,,,,305,,305,,,
"",,,Total,,,,1826,,1826,4,,4
87,87-Govt. H/S Malokey (Female)  (P),Malokey -I,183020101,,,,,124,124,,,
"",,Malokey -II,183020102,,,,,628,628,,,
"",,Malokey -III,183020103,,,,,377,377,,,
"",,Pindori,183020107,,,,,216,216,,,
"",,,Total,,,,,1345,1345,,3,3
88,"88-Govt. Girls  P/S Bhala Pind Khoonian(Combined) (P)",Chak Mughal,183020104,,,,121,87,208,,,
"",,Chak Padda,183020105,,,,269,190,459,,,
"",,"Bhala PindKhoonian",183020106,,,,377,280,657,,,
"",,Kaloo Dev.,183020108,,,,16,16,32,,,
"",,,Total,,,,783,573,1356,2,1,3
89,89-Govt. Girls P/S Mega (Combined) (P),Rana,183020201,,,,463,341,804,,,
"",,Chak Saharan B.C,183020403,,,,0,0,0,,,
"",,,,,,,,,,,,
"",,Mega,183020406,,,,261,201,462,,,
"",,,Total,,,,724,542,1266,2,1,3
90,"90-Govt. H/SS Maddo Kahlwan(Combined) (P)",Kalair,183020202,,,,165,103,268,,,
"",,Maddo Kahlwan,183020204,,,,591,473,1064,,,
"",,,Total,,,,756,576,1332,2,1,3
91,91-Govt. Girls P/S Dhalah (Combined) (P),Dhalah,183020203,,,,491,422,913,,,
"",,,Total,,,,491,422,913,1,1,2
92,"92-Govt. Girls P/S Kandhala (Combined)(P)",Kandhala,183020305,,,,526,413,939,,,
"",,,,,,,,,,,,
"",,,Total,,,,526,413,939,1,1,2
93,"93-Govt. Girls P/S Jasspal (Combined)(P)",Jasspal,183020205,,,,552,383,935,,,
"",,,,,,,,,,,,
94,"94-Govt. Girls P/SNawadey (Combined)(P)",Bhekhi Key,183020301,,,,329,258,587,,,
"",,Nawadey,183020302,,,,194,158,352,,,
"",,Barwali,183020303,,,,184,132,316,,,
"",,Hath Waddian,183020304,,,,208,128,336,,,
"",,,Total,,,,915,676,1591,2,2,4
95,"95-Govt. Girls  P/SLaddeywala(Combined) (P)",Shamsher Pur,183020405,,,,353,321,674,,,
"",,Ladde wala,183020401,,,,650,480,1130,,,
"",,,Total,,,,1003,801,1804,2,2,4
96,"96-Govt. Boys H/S Saharan (Combined)(P)",Saharan,183020404,,,,673,561,1234,,,
"",,Kala Qadir.,183020402,,,,253,196,449,,,
"",,,Total,,,,926,757,1683,2,2,4
97,"97-Govt. Girls H/S ChandarkeyRajputan(Male)  (P)","ChandarkeyRajputan-I",183020501,,,,347,,347,,,
"",,"ChandarkeyRajputan-III",183020503,,,,684,,684,,,
"",,"ChandarkeyRajputan-IV",183020504,,,,74,,74,,,
"",,Budhan,183020507,,,,94,,94,,,
"",,,,,,,,,,,,
"",,,Total,,,,1199,0,1199,2,,2
98,"98-Govt. Girls H/S ChandarkeyRajputan(Female)  (P)","ChandarkeyRajputan-I",183020501,,,,,289,289,,,
"",,"ChandarkeyRajputan-III",183020503,,,,,577,577,,,
"",,"ChandarkeyRajputan-IV",183020504,,,,,71,71,,,
"",,Budhan,183020507,,,,,63,63,,,
"",,,Total,,,,,1000,1000,,2,2
99,"99-Govt. Boys H/S Chandarkey Rajputan(Combined)  (P)","ChandarkeyRajputan-II",183020502,,,,948,827,1775,,,
"",,,Total,,,,948,827,1775,2,2,4
100,"100-Govt. Girls E/S Solehrian(Combined) (P)",Kotli Sindwan,183020505,,,,273,178,451,,,
"",,Solehrian,183020506,,,,416,323,739,,,
"",,Haraiy,183020508,,,,305,215,520,,,
"",,,Total,,,,994,716,1710,2,1,3
101,"101-Govt. Girls P/S Dhunni Dev(Combined) (P)",Dhunni Dev-I,183020701,,,,360,301,661,,,
"",,Dhunni Dev-II,183020702,,,,485,401,886,,,
"",,,Total,,,,845,702,1547,2,1,3
102,"102-Govt. Girls  P/S Tajpura (Combined)(P)",Thann Waddey,183020704,,,,287,239,526,,,
"",,Tajpura,183020705,,,,350,256,606,,,
"",,Mehmowal,183020706,,,,315,279,594,,,
"",,,Total,,,,952,774,1726,2,2,4
103,"103-Govt. Boys P/S Dhadiyala(Combined) (P)",Dhadiyala,183020801,,,,605,436,1041,,,
"",,Dhadiyala,183020802,,,,334,230,564,,,
"",,,Total,,,,939,666,1605,2,2,4
"",,Bola Bajwa-II,183020807,,,,506,,506,,,
"",,,Total,,,,1220,,1220,2,,2
105,"105-Govt.Boys H/S Bola Bajwa(Female)(P)",Bola Bajwa-I,183020806,,,,,537,537,,,
"",,Bola Bajwa-II,183020807,,,,,374,374,,,
"",,,Total,,,,,911,911,,2,2
106,106-Govt. Boys E/S Ghaziwal(Male)  (P),Ghaziwal -II,183020904,,,,437,,437,,,
"",,Ghaziwal -Iv,183020905,,,,637,,637,,,
"",,Jamman,183020906,,,,308,,308,,,
"",,,Total,,,,1382,,1382,4,,4
107,"107-Govt. Boys E/S Ghaziwal(Female)(P)",Ghaziwal -II,183020904,,,,,345,345,,,
"",,Ghaziwal -Iv,183020905,,,,,437,437,,,
"",,Jamman,183020906,,,,,219,219,,,
"",,,Total,,,,,1001,1001,,2,2
108,"108-Govt. Boys E/S Ghaziwal(Combined)(P)",Ghaziwal -I,183020901,,,,464,369,833,,,
"",,Ghaziwal -I,183020903,,,,428,307,735,,,
"",,,Total,,,,892,676,1568,2,2,4
109,"109-Govt. Boys P/S Jajanwala(Combined) (P)",Jajanwala,183020909,,,,841,578,1419,,,
"",,,,,,,,,,,,
"",,,Total,,,,841,578,1419,2,1,3
110,"110-Govt. Girls P/S Nangal Jamshaid(Combined) (P)",Nangal Jamshaid,183020907,,,,553,462,1015,,,
"",,Kotli Boota Sing,183020908,,,,241,175,416,,,
"",,,Total,,,,794,637,1431,2,1,3
111,"111-Govt. Girls H/S Thilley Kalan(Combined) (P)",Thilley Khurd,183021001,,,,506,334,840,,,
"",,Thilley Kalan,183021102,,,,481,415,896,,,
"",,,Total,,,,987,749,1736,2,2,4
112,"112-Govt. Girls P/S Osahan (Combined)P",osahan,183021003,,,,440,350,790,,,
"",,Khoosar,183021002,,,,249,174,423,,,
"",,,Total,,,,689,524,1213,1,1,2
113,"113-Govt. Girls E/S Mayyo Data(Combined) (P)",Maio Data,183021101,,,,782,625,1407,,,
"",,,,,,,,,,,,
"",,,Total,,,,782,625,1407,2,1,3
114,"114-Govt. Boys H/S Gota Fateh Garh(Combined)  (P)",Gota Fatehgarh,183030101,,,,948,710,1658,,,
"",,,,,,,,,,,,
"",,,Total,,,,948,710,1658,2,1,3
115,"115-Govt. Girls H/S Gota FatehGarh(Male)  (P)",Gota Fatehgarh,183030102,,,,628,,628,,,
"",,Poong,183030105,,,,719,,719,,,
"",,,Total,,,,1347,,1347,3,,3
116,"116-Govt. Girls H/S Gota FatehGarh(Female)  (P)",Gota Fatehgarh,183030102,,,,,551,551,,,
"",,Poong,183030105,,,,,500,500,,,
"",,,Total,,,,,1051,1051,,2,2
"",,Saraj,183030104,,,,929,655,1584,,,
"",,,Total,,,,1069,751,1820,2,1,3
118,"118-Govt. Boys Primary SchoolDahab(Combined)",Dahab,183030201,,,,437,300,737,,,
"",,,Total,,,,437,300,737,1,1,2
119,"119-Govt. Girls E/S Mangian (Combined)(P)",Mangian,183030202,,,,875,691,1566,,,
"",,,Total,,,,875,691,1566,2,2,4
120,120-Govt. H/S Manak (Male)  (P),Mank -I,183030203,,,,713,,713,,,
"",,Mank-II,183030204,,,,833,,833,,,
"",,Mank-III,183030205,,,,345,,345,,,
"",,,Total,,,,1891,,1891,4,,4
121,121-Govt. Girls H/S Manak (Female)  (P),Mank -I,183030203,,,,,612,612,,,
"",,Mank-II,183030204,,,,,700,700,,,
"",,Mank-III,183030205,,,,,284,284,,,
"",,,Total,,,,,1596,1596,,3,3
122,"122-Govt. Elementary School KalasGoraya (Combined) (P)",Kalas Goraya,183031201,,,,545,478,1023,,,
"",,Dogar Hinddo,183031205,,,,88,65,153,,,
"",,,Total,,,,633,543,1176,1,1,2
123,"123-Govt. Girls Primary School Dulam(Combined)",Dulam,183031202,,,,244,174,418,,,
"",,Dogar Muslimanian,183031204,,,,349,231,580,,,
"",,Kot Slaekhan,183031206,,,,111,84,195,,,
"",,,Total,,,,704,489,1193,1,1,2
124,"124-Govt. Girls P/S Balian (Combined)(P)",Dhaddian,183031302,,,,166,115,281,,,
"",,Balian,183031303,,,,622,447,1069,,,
"",,,Total,,,,788,562,1350,2,1,3
125,"125-Govt. Girls P/S Borewali (Combined)(P)",Borewali,183031403,,,,604,443,1047,,,
"",,Chak Dobani.,183031401,,,,151,97,248,,,
"",,,Total,,,,755,540,1295,2,1,3
126,"126-Govt. Girls P/S Manddranwala(Combined) (P)",Dharhiwal,183031301,,,,320,206,526,,,
"",,Manddranwala,183031402,,,,388,330,718,,,
"",,,Total,,,,708,536,1244,1,1,2
127,"127-Govt. H/S Aorang Abad (Combined)(P)",Jajuwala,183031501,,,,290,237,527,,,
"",,Aorang Abad,183031502,,,,429,326,755,,,
"",,,Total,,,,719,563,1282,2,1,3
128,128-Govt. Girls H/S Pajowali (Male) (P),Pajowali,183031503,,,,849,,849,,,
"",,Pajowali,183031504,,,,416,,416,,,
"",,,Total,,,,1265,,1265,3,0,3
129,129-Govt. Girls H/S Pajowali (Female) (P),Pajowali,183031503,,,,,689,689,,,
"",,Pajowali,183031504,,,,,338,338,,,
"",,,Total,,,,,1027,1027,,2,2
130,130-Govt. H/S Arud Afghanan (Male) (P),Arud Afghanan,183031505,,,,747,,747,,,
"",,Arud Afghanan,183031507,,,,256,,256,,,
"",,,Total,,,,1348,,1348,3,,3
131,"131-Govt. H/S Arud Afghanan (Female)(P)",Arud Afghanan,183031505,,,,,573,573,,,
"",,Arud Afghanan,183031507,,,,,205,205,,,
"",,Arud Afghanan,183031506,,,,,254,254,,,
"",,,Total,,,,,1032,1032,,2,2
132,"132-Govt. Girls P/S Nangal Wahla(Combined) (P)",Kotli Hassan Shah,183031601,,,,15,16,31,,,
"",,Ranidheer,183031602,,,,161,132,293,,,
"",,Fairozkey Beet B.C,183031603,,,,0,0,0,,,
"",,Maojokey Beet B.C,183031604,,,,0,0,0,,,
"",,Nangal Wahlah,183031701,,,,265,199,464,,,
"",,Viroke Beet,183031702,,,,74,42,116,,,
"",,Sandrana,183031703,,,,95,77,172,,,
"",,Kotli Mansabdar,183031704,,,,40,29,69,,,
"",,Aima Sheikhen B.C,183031705,,,,1,0,1,,,
"",,Sangrah.     B.C,183031706,,,,0,0,0,,,
"",,,Total,,,,651,495,1146,1,1,2
133,"156-Govt. Girls Model E/S Daud(Combined) (P)",Daud,183031801,,,,209,159,368,,,
"",,Daud,183031802,,,,574,454,1028,,,
"",,"Arazi MubarakpurB.C",183031803,,,,0,0,0,,,
"",,Mach,183060607,,,,185,122,307,,,
"",,,Total,,,,968,735,1703,2,2,3
134,134-Govt. H/S Bathanwala(Male)  (P),Bathanwala-II,183060102,,,,456,371,827,,,
"",,Kot Shah B.C,183060106,,,,9,6,15,,,
"",,Gill B.C,183060107,,,,0,,0,,,
"",,Farozkey,183061403,,,,86,46,132,,,
"",,,Total,,,,551,423,974,1,1,2
135,135-Govt. H/S Bathanwala (Female)  (P),Bathanwala-I,183060101,,,,548,335,883,,,
"",,,,,,,,,,,,
"",,,Total,,,,548,335,883,1,1,2
136,"136-Govt. Girls H/S Bathanwala (male)(P)",Bathanwala-III,183060103,,,,532,,532,,,
"",,Bathanwala-III,183060104,,,,425,,425,,,
"",,Qila Rajah Sing,183060105,,,,317,,317,,,
"",,,Total,,,,1274,,1274,3,,3
137,"137-Govt. Girls H/S Bathanwala (Female)(P)",Bathanwala-III,183060103,,,,,395,395,,,
"",,Bathanwala-III,183060104,,,,,311,,,,
"",,Qila Rajah Sing,183060105,,,,,219,219,,,
"",,,Total,,,,,925,925,,2,2
138,"138-Govt. Girls ElementarySchoolNarang Chaina (Combined) (P)New Black",Narang Chaina,183060201,,,,755,510,1265,,,
"",,,,,,,,,,,,
"",,,Total,,,,755,510,1265,2,1,3
139,"139-Govt. P/S Narang Chaina(Combined) (P)",Tharpal,183060202,,,,547,467,1014,,,
"",,,Total,,,,696,579,1275,2,1,3
140,"140-Govt. Boys P/S Chaudhry Chaina.(Combined) (P)",Chaudhry Chaina,183060301,,,,259,189,448,,,
"",,Sahoowal,183060302,,,,371,281,652,,,
"",,Kang Belay Wala,183060303,,,,184,138,322,,,
"",,Miadi Malahan,183060304,,,,284,205,489,,,
"",,,Total,,,,1098,813,1911,2,2,4
141,"141-Govt. Girls E/S Bhahnian(Combined) (P)",Badhai Cheema B.C,183060401,,,,4,1,5,,,
"",,Shahpur B.C,183060402,,,,2,2,4,,,
"",,Bhahnian-I,183060501,,,,334,233,567,,,
"",,Bhahnian-II,183060502,,,,400,315,715,,,
"",,Saraiy B.C,183060503,,,,0,0,0,,,
"",,Arazi Gaziwal B.C,183060504,,,,0,0,0,,,
"",,Maidi Dogar B.C,183060505,,,,1,0,1,,,
"",,,Total,,,,741,551,1292,2,1,3
142,"142-Govt. Girls H/S Dairianwala-(Male)(P)",Dairianwala-I,183060601,,,,481,,481,,,
"",,Dairianwala-III,183060603,,,,509,,509,,,
"",,Dairianwala-IV,183060604,,,,210,,210,,,
"",,,Total,,,,1200,,1200,3,,3
143,"143-Govt. Girls H/S Dairianwala (Female)(P)",Dairianwala-I,183060601,,,,,422,422,,,
"",,Dairianwala-III,183060603,,,,,435,435,,,
"",,Dairianwala-IV,183060604,,,,,164,164,,,
"",,,Total,,,,,1021,1021,,2,2
144,"144-Govt. Girls H/S Dairianwala(Combined)  (P)",Dairianwala-II,183060602,,,,328,236,564,,,
"",,Dairianwala-II,183060605,,,,415,325,740,,,
"",,Sandrana,183060609,,,,166,108,274,,,
"",,,Total,,,,909,669,1578,2,2,4
145,"145-Govt. Girls P/S Hajiwala (Combined)(P)",Hajiwala,183060606,,,,531,428,959,,,
"",,Salair Manddi,183060608,,,,265,214,479,,,
"",,,,,,,,,,,,
"",,,Total,,,,796,642,1438,2,1,3
146,"146-Govt. Girls H/S Jevan Bhinder(Combined) (P)",Jevan Bhinder,183060701,,,,578,479,1057,,,
"",,Jevan Bhinder,183060702,,,,69,49,118,,,
"",,Gharoowal,183060703,,,,404,257,661,,,
"",,,Total,,,,1051,785,1836,2,2,4
147,"147-Govt. Boys E/S Kullah Manddiala(Combined) (P)",Kullah Manddiala,183060704,,,,722,540,1262,,,
"",,Laleywali,183060705,,,,317,256,573,,,
"",,,Total,,,,1039,796,1835,2,2,4
148,"148-Govt.Boys P/S Mahais Kalan(Combined) (P)",Mahais Kalan,183060801,,,,422,233,655,,,
"",,Mahais -II,183060803,,,,618,418,1036,,,
"",,,Total,,,,1040,651,1691,2,1,3
149,"149-Govt. Girls P/S Mahais Bibeywali(Combined) (P)",Mahais -I,183060802,,,,276,188,464,,,
"",,Sangrai,183060807,,,,43,28,71,,,
150,"150-Govt.Girls P/S Adukey Khurd(Combined) (P)",Sharif pura,183060804,,,,102,78,180,,,
"",,Adukey Khurd,183060805,,,,444,338,782,,,
